5.56462,2.908,4.68855,1.72372
5.50167,3.00097,4.5046,1.50715
5.68666,2.99387,4.27839,1.3768
5.6784,2.91887,4.14978,1.2769
5.64543,2.91533,3.95603,1.26255
4.7841,2.87919,1.78009,0.395649
4.42962,2.77671,1.25241,0.205256
4.54917,3.30924,1.25162,0.201568
5.02953,3.51747,1.35808,0.286406
5.18398,3.84488,1.52224,0.200272
5.62765,2.79279,4.91558,2.00674
5.74552,2.99204,4.78263,1.76216
5.95638,3.28746,4.51742,1.60276
5.84254,2.99645,4.20108,1.45016
5.61642,2.91602,3.65119,1.26425
4.9669,3.01289,1.68587,0.261105
4.8184,3.08155,1.49689,0.169831
4.96814,3.25752,1.33895,0.210245
5.14455,3.64972,1.4649,0.337469
5.57693,4.10925,1.3597,0.296385
5.75598,2.67723,5.05152,2.17828
5.89195,2.96066,5.0612,1.8295
5.95462,3.09052,4.80056,1.7869
6.01403,2.97868,4.59439,1.51657
6.00139,2.906,4.22764,1.32254
5.38944,3.01418,2.64139,0.677721
4.83657,3.35599,1.72968,0.22699
5.03561,3.40721,1.62127,0.477958
5.25644,3.4214,1.51595,0.24492
5.52587,3.66248,1.48925,0.2355
5.81518,2.70167,5.10467,1.91052
5.97995,2.72975,5.12531,1.64856
6.06612,2.90234,4.88037,1.55485
6.10152,2.90381,4.65934,1.33631
6.18255,2.89673,4.34474,1.3079
6.12314,2.8336,4.02717,1.28263
5.50277,3.2117,2.74658,0.753076
5.13944,3.63324,1.96592,0.443822
5.23616,3.35039,1.87328,0.421244
5.28236,3.04759,2.26181,0.619617
6.1536,2.71708,5.43186,1.85953
6.1234,2.63272,5.51457,1.47574
6.27137,2.78596,5.13758,1.49862
6.30204,2.90225,4.81216,1.44912
6.46246,2.93627,4.53811,1.38892
6.42416,2.91561,4.31672,1.31986
6.05105,2.85429,3.93075,1.17549
5.68466,2.67304,3.52838,1.00523
5.34926,2.53424,3.38535,1.02995
5.05644,2.40071,3.14939,1.05183
6.39746,2.79707,5.59308,2.13815
6.37989,2.73552,5.3793,1.87717
6.41852,2.89772,5.29257,1.71464
6.68013,2.99394,4.98044,1.66459
6.73969,2.96495,4.74075,1.45958
6.64268,3.03561,4.42313,1.40311
6.023,2.78686,4.1823,1.26745
5.79114,2.66131,3.99988,1.142
5.58428,2.50808,3.88353,1.11718
5.1156,2.14972,3.50831,1.02448
6.71855,2.93544,5.6839,1.9154
6.51841,2.988,5.5129,1.82086
6.45436,3.07966,5.48619,1.8306
6.70805,3.05354,5.24884,1.94681
6.72841,3.02606,5.00309,1.92462
6.50921,3.03445,4.8598,1.78242
5.97575,2.87471,4.51895,1.50362
5.57598,2.65636,4.27941,1.25579
5.52229,2.5134,4.01314,1.25744
5.50143,2.39465,3.75793,1.05552
7.20374,3.08883,5.89589,1.70418
7.14626,3.00063,5.85016,1.93071
6.79932,3.01837,5.51457,2.07885
6.85743,3.08721,5.37903,2.15075
6.77847,3.04942,5.16048,2.2809
6.50234,3.08909,5.15091,2.01521
6.1531,2.99615,4.91722,1.81672
5.97732,2.77515,4.65904,1.61346
5.84474,2.49397,4.27012,1.33347
5.95412,2.24844,4.03499,1.07478
7.54724,3.21198,6.2036,1.99278
7.56108,2.90898,6.12403,2.11164
7.11622,3.01326,5.86054,2.19204
6.73054,3.12178,5.60637,2.35466
6.65521,3.1586,5.40771,2.31363
6.40251,3.20667,5.30771,2.26701
6.26898,2.97336,5.05659,1.97603
6.24675,2.74178,4.85433,1.80061
6.24892,2.48959,4.82207,1.55197
6.24541,2.25644,4.44822,1.38794
7.79914,3.73164,6.54317,2.09463
7.69579,2.77071,6.73459,2.13605
7.13264,3.04903,6.09194,2.20364
6.79446,3.23249,5.77017,2.24026
6.65371,3.29957,5.6761,2.44195
6.26258,3.39213,5.49377,2.34864
6.27119,3.05877,5.26463,2.14641
6.27822,2.5191,4.98043,1.85433
6.08695,2.29311,4.96854,1.53609
6.18626,2.30219,4.71455,1.45747
